mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm
1	1	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥 = 120	120
1	1	0	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""11""/><font face=""serif""/>Allegro di molto"		
1	1	0	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1.0	0				
1	1	1/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1.0	1				
1	1	1/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1.0	2				
1	1	3/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1.0	3				
1	1	1	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1.0	4				
1	1	5/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1.0	5				
1	1	3/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1.0	6				
1	1	7/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1.0	7				
1	1	2	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1.0	8				
1	1	9/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1.0	9				
1	1	5/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1.0	10				
1	1	11/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1.0	11				
1	1	3	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1.0	12				
1	1	13/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1.0	13				
1	1	7/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1.0	14				
1	1	15/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1.0	15				
1	1	0	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1.0	16	articStaccatissimoAbove			
1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1.0	17	articStaccatissimoAbove			
1	1	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1.0	18	articStaccatissimoAbove			
2	2	4	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1.0	19				
2	2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1.0	20				
2	2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8			1/8	1.0	21				
2	2	13/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1.0	22				
2	2	27/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1.0	23				
2	2	7	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1.0	24				
2	2	29/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1.0	25				
2	2	15/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1.0	26				
2	2	31/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1.0	27				
