mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	1	0	0.0	0	0	Tempo	3/8	1	1	0									Andante	82	
1	1	0	0.0	0	0	Dynamic	3/8	1	1	0						p					
1	1	0	0.0	0	0	Tempo	3/8	1	1	0									  = 52	78	
1	1	0	0.375	0	0	Chord	3/8	1	1	3/32			1/16	3/2	0		ornamentTurn				
1	1	3/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32			1/32	1	1						
1	1	1/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	2		articStaccatissimoAbove				
1	1	1	0.5	1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	3		articStaccatissimoAbove				
1	1	1/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	4		articStaccatissimoAbove				
1	1	1	0.5	1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	5		articStaccatissimoAbove				
2	2	3/2	0.5	0	0	Chord	3/8	1	1	1/8			1/8	1	6		articStaccatissimoAbove				
2	2	2	0.75	1/8	1/8	Chord	3/8	1	1	3/16			1/8	3/2	7						
2	2	11/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32			1/32	1	8						
2	2	23/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32			1/32	1	9						
2	2	3/2	0.5	0	0	Chord	3/8	2	1	1/8			1/8	1	10						
2	2	2	0.0	1/8	1/8	Dynamic	3/8	2	1	0						f					
2	2	2	0.5	1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	11						0
2	2	5/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	12						
2	2	2	1.0	1/8	1/8	Chord	3/8	2	3	1/4			1/4	1	13						
3	3	3	0.375	0	0	Chord	3/8	1	1	3/32			1/16	3/2	14		articStaccatissimoBelow				
3	3	27/8	0.0	3/32	3/32	Dynamic	3/8	1	1	0						p					
3	3	27/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32			1/32	1	15						
3	3	7/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8			1/8	1	16		articStaccatissimoBelow				
3	3	4	0.0	1/4	1/4	Chord	3/8	1	1	0	grace16		1/16	1	17						
3	3	4	0.5	1/4	1/4	Chord	3/8	1	1	1/8			1/8	1	18		ornamentTurn				
3	3	3	0.375	0	0	Chord	3/8	2	1	3/32			1/16	3/2	19		articStaccatissimoAbove				
3	3	27/8	0.125	3/32	3/32	Chord	3/8	2	1	1/32			1/32	1	20						
3	3	7/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8			1/8	1	21		articStaccatissimoBelow				
3	3	4	0.5	1/4	1/4	Chord	3/8	2	1	1/8			1/8	1	22						
4	4	9/2	0.0	0	0	Chord	3/8	1	1	0	grace16		1/16	2/3	23						
4	4	9/2	0.16666666666666666	0	0	Chord	3/8	1	1	1/24			1/16	2/3	24						
4	4	14/3	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24			1/16	2/3	25						
4	4	29/6	0.16666666666666666	1/12	1/12	Chord	3/8	1	1	1/24			1/16	2/3	26						
4	4	5	1.0	1/8	1/8	Chord	3/8	1	1	1/4			1/4	1	27						
4	4	9/2	0.875	0	0	Chord	3/8	2	1	7/32			1/8	7/4	28						
4	4	43/8	0.125	7/32	7/32	Chord	3/8	2	1	1/32			1/32	1	29						
4	4	11/2	0.375	1/4	1/4	Chord	3/8	2	1	3/32			1/16	3/2	30						
4	4	47/8	0.125	11/32	11/32	Chord	3/8	2	1	1/32			1/32	1	31						
5	5	6	0.0	0	0	Dynamic	3/8	1	1	0						f					
5	5	6	0.0	0	0	Chord	3/8	1	1	0	grace32		1/32	2/3	32						
5	5	6	0.0	0	0	Chord	3/8	1	1	0	grace32		1/32	2/3	33						
5	5	6	0.16666666666666666	0	0	Chord	3/8	1	1	1/24			1/16	2/3	34						
5	5	37/6	0.16666666666666666	1/24	1/24	Chord	3/8	1	1	1/24			1/16	2/3	35						
