mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	staff_text	tempo	qpm	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							Allegretto	116.0	1.0
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0						Arpeggio			
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	0					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	1					
1	1	4	4	2.0	1	1	Chord	4/4	1	1	1/2		1/2	1	2					
1	1	6	6	2.0	3/2	3/2	Chord	4/4	1	1	1/2		1/2	1	3					
1	1	8	8	2.0	2	2	Chord	4/4	1	1	1/2		1/2	1	4					
1	1	10	10	2.0	5/2	5/2	Chord	4/4	1	1	1/2		1/2	1	5					
1	1	12	12	0.0	3	3	Dynamic	4/4	1	1	0					f				
1	1	12	12	2.0	3	3	Chord	4/4	1	1	1/2		1/2	1	6					
1	1	14	14	2.0	7/2	7/2	Chord	4/4	1	1	1/2		1/2	1	7					
1	1	16	16	2.0	4	4	Chord	4/4	1	1	1/2		1/2	1	8					
1	1	18	18	0.0	9/2	9/2	Dynamic	4/4	1	1	0					f				
1	1	18	18	2.0	9/2	9/2	Chord	4/4	1	1	1/2		1/2	1	9					
1	1	20	20	0.0	5	5	Dynamic	4/4	1	1	0					p				
1	1	20	20	2.0	5	5	Chord	4/4	1	1	1/2		1/2	1	10					
1	1	22	22	2.0	11/2	11/2	Chord	4/4	1	1	1/2		1/2	1	11					
1	1	24	24	2.0	6	6	Chord	4/4	1	1	1/2		1/2	1	12					
1	1	26	26	0.0	13/2	13/2	Dynamic	4/4	1	1	0					f				
1	1	26	26	2.0	13/2	13/2	Chord	4/4	1	1	1/2		1/2	1	13					
1	1	28	28	2.0	7	7	Chord	4/4	1	1	1/2		1/2	1	14					
1	1	30	30	2.0	15/2	15/2	Chord	4/4	1	1	1/2		1/2	1	15					
1	1	32	32	2.0	8	8	Chord	4/4	1	1	1/2		1/2	1	16					
1	1	34	34	2.0	17/2	17/2	Chord	4/4	1	1	1/2		1/2	1	17					
1	1	0	0	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	18					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	19					
1	1	4	4	2.0	1	1	Chord	4/4	1	2	1/2		1/2	1	20					
1	1	6	6	2.0	3/2	3/2	Chord	4/4	1	2	1/2		1/2	1	21					
1	1	8	8	2.0	2	2	Chord	4/4	1	2	1/2		1/2	1	22					
1	1	10	10	2.0	5/2	5/2	Chord	4/4	1	2	1/2		1/2	1	23					
1	1	12	12	2.0	3	3	Chord	4/4	1	2	1/2		1/2	1	24					
1	1	14	14	2.0	7/2	7/2	Chord	4/4	1	2	1/2		1/2	1	25					
1	1	16	16	2.0	4	4	Chord	4/4	1	2	1/2		1/2	1	26					
1	1	18	18	2.0	9/2	9/2	Chord	4/4	1	2	1/2		1/2	1	27					
1	1	20	20	2.0	5	5	Chord	4/4	1	2	1/2		1/2	1	28					
1	1	22	22	2.0	11/2	11/2	Chord	4/4	1	2	1/2		1/2	1	29					
1	1	24	24	2.0	6	6	Chord	4/4	1	2	1/2		1/2	1	30					
1	1	26	26	2.0	13/2	13/2	Chord	4/4	1	2	1/2		1/2	1	31					
1	1	28	28	2.0	7	7	Chord	4/4	1	2	1/2		1/2	1	32					
1	1	30	30	2.0	15/2	15/2	Chord	4/4	1	2	1/2		1/2	1	33					
1	1	32	32	2.0	8	8	Chord	4/4	1	2	1/2		1/2	1	34					
1	1	34	34	2.0	17/2	17/2	Chord	4/4	1	2	1/2		1/2	1	35					
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	36					
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	37					
1	1	4	4	2.0	1	1	Chord	4/4	2	1	1/2		1/2	1	38					
1	1	6	6	2.0	3/2	3/2	Chord	4/4	2	1	1/2		1/2	1	39					
1	1	8	8	2.0	2	2	Chord	4/4	2	1	1/2		1/2	1	40					
1	1	10	10	0.0	5/2	5/2	Dynamic	4/4	2	1	0					p				
1	1	10	10	2.0	5/2	5/2	Chord	4/4	2	1	1/2		1/2	1	41					
1	1	12	12	2.0	3	3	Chord	4/4	2	1	1/2		1/2	1	42					
1	1	14	14	2.0	7/2	7/2	Chord	4/4	2	1	1/2		1/2	1	43					
1	1	16	16	0.0	4	4	Dynamic	4/4	2	1	0					p				
1	1	16	16	2.0	4	4	Chord	4/4	2	1	1/2		1/2	1	44					
1	1	18	18	2.0	9/2	9/2	Chord	4/4	2	1	1/2		1/2	1	45					
1	1	20	20	0.0	5	5	Dynamic	4/4	2	1	0					p				
1	1	20	20	2.0	5	5	Chord	4/4	2	1	1/2		1/2	1	46					
1	1	22	22	2.0	11/2	11/2	Chord	4/4	2	1	1/2		1/2	1	47					
1	1	24	24	2.0	6	6	Chord	4/4	2	1	1/2		1/2	1	48					
1	1	26	26	2.0	13/2	13/2	Chord	4/4	2	1	1/2		1/2	1	49					
1	1	28	28	2.0	7	7	Chord	4/4	2	1	1/2		1/2	1	50					
1	1	30	30	2.0	15/2	15/2	Chord	4/4	2	1	1/2		1/2	1	51					
1	1	32	32	2.0	8	8	Chord	4/4	2	1	1/2		1/2	1	52					
1	1	34	34	2.0	17/2	17/2	Chord	4/4	2	1	1/2		1/2	1	53					
1	1	0	0	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	54					
