mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0				Allegretto	112.0			1.0	
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0				𝅗𝅥=52	104.0	𝅗𝅥	52.0	0.0	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	0						
1	1	1	1	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	1						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	2						
1	1	2	2	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	3						0
1	1	5/2	5/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	4						
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	5						
1	1	1/2	1/2	1.0	1/8	1/8	Chord	2/2	1	2	1/4	1/4	1	6						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	7						
1	1	2	2	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	8						
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	9						
1	1	0	0	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	10						
1	1	3	3	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	11						
2	2	9/2	9/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	12						
2	2	5	5	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	13						
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	14						
2	2	6	6	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	15						1
2	2	13/2	13/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	16						
2	2	15/2	15/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	17						
2	2	9/2	9/2	1.0	1/8	1/8	Chord	2/2	1	2	1/4	1/4	1	18						
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	19						
2	2	6	6	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	20						
2	2	7	7	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	21						
2	2	4	4	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	22						
2	2	7	7	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	23						
3	3	17/2	17/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	24						
3	3	9	9	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	25						
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	26						
3	3	21/2	21/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	27						2
3	3	11	11	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	28						2
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	29						
3	3	17/2	17/2	1.0	1/8	1/8	Chord	2/2	1	2	1/4	1/4	1	30						
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	31						
