mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	1	0	0.0	0	0	Tempo	2/4	1	1	0									Poco andante	82	
1	1	0	0.0	0	0	Dynamic	2/4	1	1	0						p					
1	1	0	0.0	0	0	Tempo	2/4	1	1	0									 = 60	60	
1	1	0	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	0						
1	1	1/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	1						
1	1	7/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	2						
1	1	1	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	3						0
1	1	0	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	4						
2	2	2	0.0	0	0	Dynamic	2/4	1	1	0						pp					
2	2	2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	5						
2	2	5/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32			1/16	3/2	6						
2	2	23/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	7						
2	2	3	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	8						
2	2	2	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	9						
3	3	17/4	0.0	1/16	1/16	Dynamic	2/4	1	1	0						p					
3	3	17/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	10						1
3	3	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	11						1
3	3	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	12						
3	3	21/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	13						2
3	3	11/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	14						2
3	3	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	15						
3	3	4	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	16		articStaccatissimoAbove				
3	3	5	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	17		articStaccatissimoAbove				
4	4	6	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	18						3
4	4	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	19		ornamentTurn				
4	4	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	20						
4	4	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	21						
4	4	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	22						
