mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0							Andante	82.0			1.0	
1	0	0	0	0.0	0	3/8	Dynamic	2/4	1	1	0					p							
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
1	0	0	0	0.25	0	3/8	Chord	2/4	1	1	1/16		1/16	1	0								0
1	0	1/4	1/4	0.25	1/16	7/16	Chord	2/4	1	1	1/16		1/16	1	1								
2	1	1/2	1/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	2								1
2	1	3/4	3/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	3								
2	1	1	1	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	4								2
2	1	5/4	5/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	5								
2	1	2	2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	6								3
2	1	9/4	9/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	7								
2	1	1	1	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	8								
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	9								
3	2	5/2	5/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	10								4
3	2	11/4	11/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	11								
3	2	3	3	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	12								5
3	2	13/4	13/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	13								
3	2	4	4	0.0	3/8	3/8	Dynamic	2/4	1	1	0					f							
3	2	4	4	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	14								6
3	2	17/4	17/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	15								
3	2	3	3	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	16								
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	17								
4	3	9/2	9/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	18								7
4	3	19/4	19/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	19								
4	3	11/2	11/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	20								
4	3	23/4	23/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	21								8
4	3	6	6	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	22								
4	3	25/4	25/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	23								
4	3	5	5	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	24								
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	25								
4	3	6	6	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	26								
4	3	51/8	51/8	0.125	15/32	15/32	Chord	2/4	2	4	1/32		1/32	1	27								
5	4	15/2	15/2	0.0	1/4	1/4	Dynamic	2/4	1	1	0					p							
5	4	61/8	61/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	28								
5	4	31/4	31/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	29								
5	4	63/8	63/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	30								
5	4	8	8	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	31								
5	4	65/8	65/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	32								
5	4	33/4	33/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	33								
5	4	67/8	67/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	34								
5	4	13/2	13/2	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	35		ornamentShortTrill						
5	4	20/3	20/3	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	36								
5	4	41/6	41/6	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	37								
5	4	7	7	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	38								
5	4	13/2	13/2	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	39								
5	4	7	7	0.375	1/8	1/8	Chord	2/4	2	2	3/32		1/16	3/2	40								
5	4	59/8	59/8	0.125	7/32	7/32	Chord	2/4	2	2	1/32		1/32	1	41								
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	42								
6	5	17/2	17/2	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	43								
6	5	69/8	69/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	44								
6	5	35/4	35/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	45								
6	5	71/8	71/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	46								
6	5	9	9	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	47								
6	5	73/8	73/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	48								
6	5	37/4	37/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	49								
6	5	75/8	75/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	50								
6	5	39/4	39/4	0.0	5/16	5/16	Dynamic	2/4	1	1	0					f							
6	5	39/4	39/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	51								
6	5	10	10	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	52								
6	5	41/4	41/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	53								
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	54								
6	5	10	10	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	55								
7	6	21/2	21/2	0.0	0	0	Chord	2/4	1	1	0	grace32	1/32	1	56								
7	6	21/2	21/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	57								9
7	6	43/4	43/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	58								
7	6	11	11	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	59								10
7	6	45/4	45/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	60								
7	6	93/8	93/8	0.0	9/32	9/32	Dynamic	2/4	1	1	0					p							
7	6	93/8	93/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	61								
7	6	47/4	47/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	62								
7	6	95/8	95/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	63								
7	6	12	12	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	64								
7	6	97/8	97/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	65								
7	6	49/4	49/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	66								
7	6	99/8	99/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	67								
7	6	21/2	21/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	68								
7	6	11	11	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	69								
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	70								
8	7	25/2	25/2	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	71								
