mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	1	0	0.0	0	0	Dynamic	2/4	1	1	0						p					
1	1	0	0.0	0	0	Tempo	2/4	1	1	0									𝅘𝅥 = 80	80	
1	1	0	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	0						0
1	1	1/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	1						
1	1	1/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	2						
1	1	1	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	3						
1	1	5/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	4						
1	1	3/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	5						1
1	1	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	6						
1	1	1/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8			1/8	1	7						
1	1	1	0.5	1/4	1/4	Chord	2/4	1	2	1/8			1/8	1	8						
1	1	3/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8			1/8	1	9						
2	2	2	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	10						2
2	2	9/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	11						
2	2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	12						
2	2	3	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	13						3
2	2	13/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	14						3
2	2	7/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	15						3
2	2	15/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	16						
2	2	5/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8			1/8	1	17						
2	2	3	0.5	1/4	1/4	Chord	2/4	1	2	1/8			1/8	1	18						
2	2	7/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8			1/8	1	19						
3	3	4	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	20						4
3	3	17/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	21						
3	3	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	22						
3	3	5	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	23						
3	3	21/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	24						
3	3	11/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	25						5
3	3	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	26						
3	3	9/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8			1/8	1	27						
3	3	5	0.5	1/4	1/4	Chord	2/4	1	2	1/8			1/8	1	28						
3	3	11/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8			1/8	1	29						
4	4	6	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	30						6
