mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								Pocoallegro	116.0			1.0	
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
1	1	0	0	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	0									
1	1	1/2	1/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	1									
1	1	3/2	3/2	0.16666666666666666	3/8	3/8	Chord	4/4	1	1	1/24		1/16	2/3	2									
1	1	5/3	5/3	0.16666666666666666	5/12	5/12	Chord	4/4	1	1	1/24		1/16	2/3	3									
1	1	11/6	11/6	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24		1/16	2/3	4									
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	5									0
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	6		ornamentTurn							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	7									
1	1	0	0	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	8									
1	1	1/2	1/2	1.5	1/8	1/8	Chord	4/4	1	2	3/8		1/4	3/2	9									
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	10									
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	11									
1	1	0	0	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	12									
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	13									
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	14									
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	15									
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	16									
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	17									
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	18									
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	19									
2	2	4	4	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	20									
2	2	11/2	11/2	0.375	3/8	3/8	Chord	4/4	1	1	3/32		1/16	3/2	21		articStaccatissimoAbove							
