mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Largo	50.0			1.0	
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					f							
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0								0
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1								0
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2								
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	3								
2	2	3	3	0.0	0	0	Dynamic	3/4	1	1	0					p							
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	4								1
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	5								1
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	6								
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	7								
3	3	6	6	0.0	0	0	Dynamic	3/4	1	1	0					f							
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	8								2
3	3	7	7	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	9								
3	3	17/2	17/2	0.16666666666666666	5/8	5/8	Chord	3/4	1	1	1/24		1/16	2/3	10								
3	3	26/3	26/3	0.16666666666666666	2/3	2/3	Chord	3/4	1	1	1/24		1/16	2/3	11								
3	3	53/6	53/6	0.16666666666666666	17/24	17/24	Chord	3/4	1	1	1/24		1/16	2/3	12								
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	13								3
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	14								3
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	15								
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	16								4
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	17								4
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	18								
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	19								5
4	4	19/2	19/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32		1/32	1	20		ornamentShortTrill						
4	4	77/8	77/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32		1/32	1	21								
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	22								
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	23								
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	24								
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	25								
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	26								
5	5	25/2	25/2	0.0	1/8	1/8	Chord	3/4	1	1	0	grace16	1/16	1	27								
5	5	25/2	25/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	28								
5	5	27/2	27/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	29								
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	30								
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	31								
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	32								
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	33								
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	34								
6	6	31/2	31/2	0.0	1/8	1/8	Chord	3/4	1	1	0	grace16	1/16	1	35								
