mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	slur
1	1	0	0.0	0	0	Tempo	3/4	1	1	0								Allegro	116	
1	1	0	0.0	0	0	Tempo	3/4	1	1	0								 = 132	132	
1	1	0	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	0		articStaccatissimoAbove			
1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	1		articStaccatissimoAbove			
1	1	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	2		articStaccatissimoAbove			
1	1	0	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	3		articStaccatissimoAbove			
1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	4		articStaccatissimoBelow			
1	1	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	5		articStaccatissimoAbove			
2	2	3	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	6		articStaccatissimoAbove			
2	2	4	0.0	1/4	1/4	Dynamic	3/4	1	1	0						p				
2	2	4	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	7					
2	2	17/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	8					
2	2	9/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	9					
2	2	19/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	10					
2	2	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	11		articStaccatissimoAbove			
2	2	3	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	12		articStaccatissimoBelow			
3	3	6	0.0	0	0	Dynamic	3/4	1	1	0						f				
3	3	6	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	13		articStaccatissimoBelow			
3	3	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	14		articStaccatissimoAbove			
3	3	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	15		articStaccatissimoBelow			
3	3	6	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	16		articStaccatissimoAbove			
3	3	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	17		articStaccatissimoBelow			
3	3	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	18		articStaccatissimoBelow			
4	4	9	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	19		articStaccatissimoBelow			
4	4	10	0.0	1/4	1/4	Dynamic	3/4	1	1	0						p				
4	4	10	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	20					
4	4	41/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	21					
4	4	21/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	22					
4	4	43/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	23					
4	4	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	24		articStaccatissimoAbove			
4	4	9	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	25		articStaccatissimoBelow			
5	5	12	0.0	0	0	Dynamic	3/4	1	1	0						f				
5	5	12	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	26		articStaccatissimoBelow			
5	5	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	27		articStaccatissimoBelow			
5	5	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	28		articStaccatissimoBelow			
5	5	12	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	29		articStaccatissimoBelow			
5	5	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	30		articStaccatissimoBelow			
5	5	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	31		articStaccatissimoBelow			
6	6	15	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	32		articStaccatissimoBelow			
6	6	16	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	33					
6	6	65/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	34					
6	6	33/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	35					
6	6	67/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	36					
6	6	17	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	37					
6	6	69/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	38					
6	6	35/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	39					
6	6	71/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	40					
