mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	tempo	qpm	slur
1	1	0	0.0		0	0	Tempo	2/4	1	1	0							Allegro	144	
1	1	0	0.0		0	0	Tempo	2/4	1	1	0							 = 90	90	
1	1	0	1.0		0	0	Chord	2/4	1	1	1/4			1/4	1	0				
1	1	1	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24			1/16	2/3	1				
1	1	7/6	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24			1/16	2/3	2				
1	1	4/3	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24			1/16	2/3	3				
1	1	3/2	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24			1/16	2/3	4				
1	1	5/3	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24			1/16	2/3	5				
1	1	11/6	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24			1/16	2/3	6				
1	1	0	0.16666666666666666		0	0	Chord	2/4	2	1	1/24			1/16	2/3	7				
1	1	1/6	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24			1/16	2/3	8				
1	1	1/3	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24			1/16	2/3	9				
1	1	1/2	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24			1/16	2/3	10				
1	1	2/3	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24			1/16	2/3	11				
1	1	5/6	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24			1/16	2/3	12				
1	1	1	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	13	articStaccatissimoBelow			
2	2	2	1.0		0	0	Chord	2/4	1	1	1/4			1/4	1	14				
2	2	3	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24			1/16	2/3	15				
2	2	19/6	0.16666666666666666		7/24	7/24	Chord	2/4	1	1	1/24			1/16	2/3	16				
2	2	10/3	0.16666666666666666		1/3	1/3	Chord	2/4	1	1	1/24			1/16	2/3	17				
2	2	7/2	0.16666666666666666		3/8	3/8	Chord	2/4	1	1	1/24			1/16	2/3	18				
2	2	11/3	0.16666666666666666		5/12	5/12	Chord	2/4	1	1	1/24			1/16	2/3	19				
2	2	23/6	0.16666666666666666		11/24	11/24	Chord	2/4	1	1	1/24			1/16	2/3	20				
2	2	2	0.16666666666666666		0	0	Chord	2/4	2	1	1/24			1/16	2/3	21				
2	2	13/6	0.16666666666666666		1/24	1/24	Chord	2/4	2	1	1/24			1/16	2/3	22				
2	2	7/3	0.16666666666666666		1/12	1/12	Chord	2/4	2	1	1/24			1/16	2/3	23				
2	2	5/2	0.16666666666666666		1/8	1/8	Chord	2/4	2	1	1/24			1/16	2/3	24				
2	2	8/3	0.16666666666666666		1/6	1/6	Chord	2/4	2	1	1/24			1/16	2/3	25				
2	2	17/6	0.16666666666666666		5/24	5/24	Chord	2/4	2	1	1/24			1/16	2/3	26				
2	2	3	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	27	articStaccatissimoBelow			
3	3	4	0.16666666666666666		0	0	Chord	2/4	1	1	1/24			1/16	2/3	28				
3	3	25/6	0.16666666666666666		1/24	1/24	Chord	2/4	1	1	1/24			1/16	2/3	29				
3	3	13/3	0.16666666666666666		1/12	1/12	Chord	2/4	1	1	1/24			1/16	2/3	30				
3	3	9/2	0.16666666666666666		1/8	1/8	Chord	2/4	1	1	1/24			1/16	2/3	31				
3	3	14/3	0.16666666666666666		1/6	1/6	Chord	2/4	1	1	1/24			1/16	2/3	32				
3	3	29/6	0.16666666666666666		5/24	5/24	Chord	2/4	1	1	1/24			1/16	2/3	33				
3	3	5	0.16666666666666666		1/4	1/4	Chord	2/4	1	1	1/24			1/16	2/3	34				
