mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Allegro	126.0			1.0	
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
1	1	0	0	0.125	0	0	Chord	3/4	1	1	1/32	1/32	1	0									
1	1	1/8	1/8	0.125	1/32	1/32	Chord	3/4	1	1	1/32	1/32	1	1									
1	1	1/4	1/4	0.125	1/16	1/16	Chord	3/4	1	1	1/32	1/32	1	2									
1	1	3/8	3/8	0.125	3/32	3/32	Chord	3/4	1	1	1/32	1/32	1	3									
1	1	1/2	1/2	0.125	1/8	1/8	Chord	3/4	1	1	1/32	1/32	1	4									
1	1	5/8	5/8	0.125	5/32	5/32	Chord	3/4	1	1	1/32	1/32	1	5									
1	1	3/4	3/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	6									
1	1	7/8	7/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	7									
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	8		articStaccatissimoAbove							
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	9		articStaccatissimoAbove							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	10		articStaccatissimoBelow							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	11		articStaccatissimoBelow							
2	2	3	3	0.0	0	0	Dynamic	3/4	2	1	0				p								
2	2	3	3	0.125	0	0	Chord	3/4	2	1	1/32	1/32	1	12									
2	2	25/8	25/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32	1/32	1	13									
2	2	13/4	13/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32	1/32	1	14									
2	2	27/8	27/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32	1/32	1	15									
2	2	7/2	7/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32	1/32	1	16									
2	2	29/8	29/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32	1/32	1	17									
2	2	15/4	15/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32	1/32	1	18									
2	2	31/8	31/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32	1/32	1	19									
