mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	articulation	tempo	qpm
1	1	0	0.0	0	0	Tempo	4/4	1	1	0							Allegro assai	126
1	1	0	0.16666666666666666	0	0	Chord	4/4	1	1	1/24			1/16	2/3	0			
1	1	1/6	0.16666666666666666	1/24	1/24	Chord	4/4	1	1	1/24			1/16	2/3	1			
1	1	1/3	0.16666666666666666	1/12	1/12	Chord	4/4	1	1	1/24			1/16	2/3	2			
1	1	1/2	0.16666666666666666	1/8	1/8	Chord	4/4	1	1	1/24			1/16	2/3	3			
1	1	2/3	0.16666666666666666	1/6	1/6	Chord	4/4	1	1	1/24			1/16	2/3	4			
1	1	5/6	0.16666666666666666	5/24	5/24	Chord	4/4	1	1	1/24			1/16	2/3	5			
1	1	1	0.16666666666666666	1/4	1/4	Chord	4/4	1	1	1/24			1/16	2/3	6			
1	1	7/6	0.16666666666666666	7/24	7/24	Chord	4/4	1	1	1/24			1/16	2/3	7			
1	1	4/3	0.16666666666666666	1/3	1/3	Chord	4/4	1	1	1/24			1/16	2/3	8			
1	1	3/2	0.16666666666666666	3/8	3/8	Chord	4/4	1	1	1/24			1/16	2/3	9			
1	1	5/3	0.16666666666666666	5/12	5/12	Chord	4/4	1	1	1/24			1/16	2/3	10			
1	1	11/6	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24			1/16	2/3	11			
1	1	2	0.16666666666666666	1/2	1/2	Chord	4/4	1	1	1/24			1/16	2/3	12			
1	1	13/6	0.16666666666666666	13/24	13/24	Chord	4/4	1	1	1/24			1/16	2/3	13			
1	1	7/3	0.16666666666666666	7/12	7/12	Chord	4/4	1	1	1/24			1/16	2/3	14			
1	1	5/2	0.16666666666666666	5/8	5/8	Chord	4/4	1	1	1/24			1/16	2/3	15			
1	1	8/3	0.16666666666666666	2/3	2/3	Chord	4/4	1	1	1/24			1/16	2/3	16			
1	1	17/6	0.16666666666666666	17/24	17/24	Chord	4/4	1	1	1/24			1/16	2/3	17			
1	1	3	0.16666666666666666	3/4	3/4	Chord	4/4	1	1	1/24			1/16	2/3	18			
1	1	19/6	0.16666666666666666	19/24	19/24	Chord	4/4	1	1	1/24			1/16	2/3	19			
1	1	10/3	0.16666666666666666	5/6	5/6	Chord	4/4	1	1	1/24			1/16	2/3	20			
1	1	7/2	0.16666666666666666	7/8	7/8	Chord	4/4	1	1	1/24			1/16	2/3	21			
1	1	11/3	0.16666666666666666	11/12	11/12	Chord	4/4	1	1	1/24			1/16	2/3	22			
1	1	23/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24			1/16	2/3	23			
1	1	0	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	24	articStaccatoAbove		
1	1	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	25			
1	1	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	26			
1	1	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	27			
1	1	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	28			
2	2	4	0.16666666666666666	0	0	Chord	4/4	1	1	1/24			1/16	2/3	29			
2	2	25/6	0.16666666666666666	1/24	1/24	Chord	4/4	1	1	1/24			1/16	2/3	30			
2	2	13/3	0.16666666666666666	1/12	1/12	Chord	4/4	1	1	1/24			1/16	2/3	31			
2	2	9/2	0.16666666666666666	1/8	1/8	Chord	4/4	1	1	1/24			1/16	2/3	32			
2	2	14/3	0.16666666666666666	1/6	1/6	Chord	4/4	1	1	1/24			1/16	2/3	33			
2	2	29/6	0.16666666666666666	5/24	5/24	Chord	4/4	1	1	1/24			1/16	2/3	34			
