mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Andantemoderato	98.0			1.0	
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=86	86.0	𝅘𝅥	86.0	0.0	
1	1	0	0	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	0		ornamentTremblement						
1	1	3/4	3/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	1								
1	1	7/8	7/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	2								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	3		articStaccatissimoBelow						
1	1	2	2	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	4								
1	1	0	0	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	5		ornamentTremblement						
1	1	3/4	3/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	6								
1	1	7/8	7/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	7								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	8		articStaccatissimoAbove						
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	9								
2	2	7/2	7/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	10								
2	2	9/2	9/2	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	11								
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	12								
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	13								
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	14								
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	15								
3	3	6	6	0.0	0	0	Dynamic	3/4	1	1	0					f							
3	3	6	6	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	16		ornamentTremblement						
3	3	27/4	27/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	17								
3	3	55/8	55/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	18								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	19		articStaccatissimoBelow						
3	3	8	8	0.0	1/2	1/2	Dynamic	3/4	1	1	0					p							
3	3	8	8	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	20		ornamentTremblement						
3	3	35/4	35/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	21								
3	3	71/8	71/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	22								
3	3	6	6	0.75	0	0	Chord	3/4	2	1	3/16		1/8	3/2	23		ornamentTremblement						
3	3	27/4	27/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32		1/32	1	24								
3	3	55/8	55/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32		1/32	1	25								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	26		articStaccatissimoAbove						
4	4	9	9	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	27		ornamentTremblement						
4	4	39/4	39/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32		1/32	1	28								
4	4	79/8	79/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32		1/32	1	29								
4	4	10	10	0.75	1/4	1/4	Chord	3/4	1	1	3/16		1/8	3/2	30		ornamentTremblement						
4	4	43/4	43/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32		1/32	1	31								
4	4	87/8	87/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32		1/32	1	32								
4	4	11	11	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	33		ornamentTremblement						
4	4	47/4	47/4	0.125	11/16	11/16	Chord	3/4	1	1	1/32		1/32	1	34								
4	4	95/8	95/8	0.125	23/32	23/32	Chord	3/4	1	1	1/32		1/32	1	35								
