mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	1	0	0.0	0	0	Tempo	2/4	1	1	0									Presto	176	
1	1	0	0.0	0	0	Dynamic	2/4	1	1	0						f					
1	1	0	0.0	0	0	Tempo	2/4	1	1	0									 = 130	130	
1	1	0	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	0						
1	1	1/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	1						
1	1	1/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	2						
1	1	3/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	3						
1	1	1	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	4						
1	1	5/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	5						
1	1	3/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	6						
1	1	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	7						
1	1	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	8		articStaccatissimoAbove				
1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	9		articStaccatissimoAbove				
1	1	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	10		articStaccatissimoAbove				
2	2	2	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	11		articStaccatissimoAbove				
2	2	3	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	12		articStaccatissimoAbove				
2	2	2	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	13		articStaccatissimoAbove				
2	2	3	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	14		articStaccatissimoAbove				
3	3	9/2	0.0	1/8	1/8	Dynamic	2/4	1	1	0						p					
3	3	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	15		articStaccatissimoBelow				
3	3	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	16		articStaccatissimoBelow				
3	3	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	17		articStaccatissimoBelow				
3	3	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	18		articStaccatissimoAbove				
3	3	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	19		articStaccatissimoAbove				
3	3	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	20		articStaccatissimoAbove				
4	4	6	0.75	0	0	Chord	2/4	1	1	3/16			1/8	3/2	21						0
4	4	27/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	22						0
4	4	55/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	23						
4	4	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	24		articStaccatissimoBelow				
4	4	6	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	25						1
4	4	7	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	26		articStaccatissimoAbove				
5	5	8	0.0	0	0	Dynamic	2/4	1	1	0						f					
5	5	33/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	27						
5	5	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	28						
5	5	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	29						
5	5	9	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	30						
5	5	37/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	31						
5	5	19/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	32						
5	5	39/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	33						
5	5	8	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	34						
6	6	41/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	35						
6	6	21/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	36						
6	6	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	37						
6	6	11	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	38						
6	6	45/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	39						
6	6	23/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	40						
6	6	47/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	41						
6	6	10	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	42						
7	7	49/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	43						
7	7	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	44						
7	7	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	45						
7	7	13	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	46						
7	7	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	47						
7	7	27/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	48						
7	7	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	49						
7	7	12	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	50						
